"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"1","111021","General and Operations Managers",196990,138630,27.59,72.41,TRUE,"Sub-Baccalaureate",2.435,3.7025,3.3725,1.5325,3.57142857142857,14.6139285714286,0.24,0.17,0.25,0.23,0.1,FALSE,FALSE,FALSE,"111021"
"2","111031","Legislators",880,82530,NA,NA,TRUE,"Sub-Baccalaureate",2.435,3.7025,3.3725,1.5325,3.57142857142857,NA,0.24,0.17,0.25,0.23,0.1,TRUE,TRUE,TRUE,"111031"
"3","112011","Advertising and Promotions Managers",3960,207020,68.31,31.69,FALSE,"Bachelor's or Higher",2.57625,3.7025,2.9975,1.17,3.32142857142857,13.7676785714286,0.24,0.19,0.27,0.22,0.08,FALSE,FALSE,FALSE,"112011"
"4","112021","Marketing Managers",46610,176530,90.64,9.36,FALSE,"Bachelor's or Higher",2.735,3.69,3.095,1.20375,3.51714285714286,14.2408928571429,0.25,0.19,0.26,0.22,0.08,FALSE,FALSE,FALSE,"112021"
"5","112022","Sales Managers",38040,212040,82.62,17.39,FALSE,"Bachelor's or Higher",2.7,3.76625,3.2825,1.28125,3.85857142857143,14.8885714285714,0.26,0.18,0.25,0.22,0.09,FALSE,FALSE,FALSE,"112022"
"6","112032","Public Relations Managers",7450,187560,NA,NA,FALSE,"Bachelor's or Higher",2.7,3.76625,3.2825,1.28125,3.85857142857143,NA,0.26,0.18,0.25,0.22,0.09,TRUE,FALSE,FALSE,"112032"
"7","112033","Fundraising Managers",3600,165200,NA,NA,FALSE,"Bachelor's or Higher",2.7,3.76625,3.2825,1.28125,3.85857142857143,NA,0.26,0.18,0.25,0.22,0.09,TRUE,FALSE,FALSE,"112033"
"8","113012","Administrative Services Managers",17130,131060,28.27,71.74,TRUE,"Sub-Baccalaureate",2.25,3.59375,3.285,1.515,3.32142857142857,13.9651785714286,0.24,0.16,0.26,0.24,0.11,FALSE,FALSE,FALSE,"113012"
"9","113013","Facilities Managers",9570,130000,NA,NA,TRUE,"Sub-Baccalaureate",2.25,3.59375,3.285,1.515,3.32142857142857,NA,0.24,0.16,0.26,0.24,0.11,TRUE,FALSE,FALSE,"113013"
"10","113021","Computer and Information Systems Managers",50760,210300,64.84,35.15,FALSE,"Bachelor's or Higher",3.02875,3.7825,3.1875,1.98625,3.33857142857143,15.3235714285714,0.22,0.2,0.25,0.21,0.13,FALSE,FALSE,FALSE,"113021"
"11","113031","Financial Managers",76600,215630,91.1066666666667,8.9,FALSE,"Bachelor's or Higher",2.5775,3.765,3.09333333333333,1.235,3.22571428571429,13.8965476190476,0.23,0.19,0.27,0.22,0.09,FALSE,FALSE,FALSE,"113031"
"12","113051","Industrial Production Managers",6920,137990,47.4516666666667,52.5433333333333,TRUE,"Sub-Baccalaureate",2.75708333333333,3.71125,3.35375,2.41375,3.35190476190476,15.5877380952381,0.22,0.18,0.24,0.22,0.15,FALSE,FALSE,FALSE,"113051"
"13","113061","Purchasing Managers",5570,172250,63.16,36.84,FALSE,"Bachelor's or Higher",2.5775,3.68875,3.595,1.39,3.69857142857143,14.9498214285714,0.25,0.17,0.25,0.24,0.09,FALSE,FALSE,FALSE,"113061"
"14","113071","Transportation, Storage, and Distribution Managers",7960,129930,95.24,4.76,FALSE,"Bachelor's or Higher",2.658125,3.724375,3.38,1.47375,3.52928571428571,14.7655357142857,0.24,0.18,0.25,0.23,0.1,FALSE,FALSE,FALSE,"113071"
"15","113111","Compensation and Benefits Managers",1990,180070,100,0,FALSE,"Bachelor's or Higher",2.485,3.81375,3.0925,1.125,3.17714285714286,13.6933928571429,0.23,0.18,0.28,0.23,0.08,FALSE,FALSE,FALSE,"113111"
"16","113121","Human Resources Managers",14850,181080,95.66,4.35,FALSE,"Bachelor's or Higher",2.655,3.85875,3.25,1.2025,3.66285714285714,14.6291071428571,0.25,0.18,0.26,0.22,0.08,FALSE,FALSE,FALSE,"113121"
"17","113131","Training and Development Managers",3100,169520,92.58,7.4,FALSE,"Bachelor's or Higher",2.68875,3.9875,3.4975,1.28125,3.76714285714286,15.2221428571429,0.25,0.18,0.26,0.23,0.08,FALSE,FALSE,FALSE,"113131"
"18","119013","Farmers, Ranchers, and Other Agricultural Managers",160,70400,NA,NA,FALSE,"Bachelor's or Higher",2.625,3.505,3.21,2.355,3.31428571428571,15.0092857142857,0.22,0.17,0.23,0.21,0.16,TRUE,TRUE,FALSE,"119013"
"19","119021","Construction Managers",12080,158380,90,10,FALSE,"Bachelor's or Higher",2.655,3.61,3.5625,1.735,3.41142857142857,14.9739285714286,0.23,0.18,0.24,0.24,0.12,FALSE,FALSE,FALSE,"119021"
"20","119031","Education and Childcare Administrators, Preschool and Daycare",4380,79310,16.52,83.48,TRUE,"Sub-Baccalaureate",2.4375,3.84375,3.435,1.39125,3.80571428571429,14.9132142857143,0.26,0.16,0.26,0.23,0.09,FALSE,TRUE,TRUE,"119031"
"21","119032","Education Administrators, Kindergarten through Secondary",21740,152930,90.88,9.13,FALSE,"Bachelor's or Higher",2.735,4.20375,3.595,1.43625,3.85857142857143,15.8285714285714,0.24,0.17,0.27,0.23,0.09,FALSE,FALSE,FALSE,"119032"
"22","119033","Education Administrators, Postsecondary",6650,138600,100,0,FALSE,"Bachelor's or Higher",2.4225,3.96875,3.4375,1.1725,3.73,14.73125,0.25,0.16,0.27,0.23,0.08,FALSE,FALSE,FALSE,"119033"
"23","119039","Education Administrators, All Other",2240,103750,NA,NA,FALSE,"Bachelor's or Higher",2.4225,3.96875,3.4375,1.1725,3.73,NA,0.25,0.16,0.27,0.23,0.08,TRUE,TRUE,FALSE,"119039"
"24","119041","Architectural and Engineering Managers",7390,174640,93.46,6.535,FALSE,"Bachelor's or Higher",2.89,3.67125,2.9075,1.8975,3.20571428571429,14.5719642857143,0.22,0.2,0.25,0.2,0.13,FALSE,FALSE,FALSE,"119041"
"25","119051","Food Service Managers",15090,79790,5.54,94.45,TRUE,"Sub-Baccalaureate",2.32875,3.405,3.3125,1.905,3.48,14.43125,0.24,0.16,0.24,0.23,0.13,FALSE,TRUE,TRUE,"119051"
"26","119072","Entertainment and Recreation Managers, Except Gambling",1690,76490,NA,NA,TRUE,"Sub-Baccalaureate",2.32875,3.405,3.3125,1.905,3.48,NA,0.24,0.16,0.24,0.23,0.13,TRUE,TRUE,TRUE,"119072"
"27","119081","Lodging Managers",2560,79260,71.6,28.41,FALSE,"Bachelor's or Higher",2.39,3.81375,3.4075,1.7675,3.87571428571429,15.2544642857143,0.25,0.16,0.25,0.22,0.12,FALSE,TRUE,FALSE,"119081"
"28","119111","Medical and Health Services Managers",31120,142860,75,24.99,FALSE,"Bachelor's or Higher",3.03,3.92125,3.625,1.3425,3.89571428571429,15.8144642857143,0.25,0.19,0.25,0.23,0.08,FALSE,FALSE,FALSE,"119111"
"29","119121","Natural Sciences Managers",8720,176220,86.31,13.6866666666667,FALSE,"Bachelor's or Higher",2.885,3.77125,2.92583333333333,1.515,3.24380952380952,14.3408928571429,0.23,0.2,0.26,0.2,0.11,FALSE,FALSE,FALSE,"119121"
"30","119131","Postmasters and Mail Superintendents",620,93320,13.44,86.55,TRUE,"Sub-Baccalaureate",2.4225,3.61,3.345,1.54625,3.60714285714286,14.5308928571429,0.25,0.17,0.25,0.23,0.11,FALSE,TRUE,TRUE,"119131"
"31","119141","Property, Real Estate, and Community Association Managers",11850,95120,65,35,FALSE,"Bachelor's or Higher",2.07625,3.4525,3,1.37375,3.21285714285714,13.1153571428571,0.24,0.16,0.26,0.23,0.1,FALSE,TRUE,FALSE,"119141"
"32","119151","Social and Community Service Managers",12690,97620,82.41,17.58,FALSE,"Bachelor's or Higher",2.8125,3.79875,3.19,1.4525,3.68,14.93375,0.25,0.19,0.25,0.21,0.1,FALSE,TRUE,FALSE,"119151"
"33","119161","Emergency Management Directors",440,116720,81.82,18.19,FALSE,"Bachelor's or Higher",2.78,3.96875,3.155,1.4525,3.85714285714286,15.2133928571429,0.25,0.18,0.26,0.21,0.1,FALSE,FALSE,FALSE,"119161"
"34","119171","Funeral Home Managers",670,93900,34.73,65.27,TRUE,"Sub-Baccalaureate",2.01625,3.29625,2.97,1.46875,3.51857142857143,13.2698214285714,0.27,0.15,0.25,0.22,0.11,FALSE,TRUE,TRUE,"119171"
"35","119179","Personal Service Managers, All Other",340,72470,56.65,43.355,FALSE,"Bachelor's or Higher",2.343125,3.57125,3.25,1.648125,3.59071428571429,14.4032142857143,0.25,0.16,0.25,0.23,0.11,FALSE,TRUE,FALSE,"119179"
"36","119199","Managers, All Other",25260,167820,74.965,25.04,FALSE,"Bachelor's or Higher",2.61166666666667,3.71791666666667,2.91791666666667,1.62958333333333,3.42833333333333,14.3054166666667,0.24,0.18,0.26,0.2,0.11,FALSE,FALSE,FALSE,"119199"
"37","131011","Agents and Business Managers of Artists, Performers, and Athletes",2700,91410,58.13,41.87,FALSE,"Bachelor's or Higher",2.09375,3.57625,2.5025,1.0625,3.48428571428571,12.7192857142857,0.27,0.16,0.28,0.2,0.08,FALSE,TRUE,FALSE,"131011"
"38","131020","Buyers and Purchasing Agents",27440,81990,NA,NA,FALSE,"Bachelor's or Higher",2.09375,3.57625,2.5025,1.0625,3.48428571428571,NA,0.27,0.16,0.28,0.2,0.08,TRUE,TRUE,FALSE,"131020"
"39","131031","Claims Adjusters, Examiners, and Investigators",15400,84200,60.35,39.64,FALSE,"Bachelor's or Higher",2.37625,3.64,2.405,1.42,3.09,12.93125,0.24,0.18,0.28,0.19,0.11,FALSE,TRUE,FALSE,"131031"
"40","131032","Insurance Appraisers, Auto Damage",390,85980,1.47,98.53,TRUE,"Sub-Baccalaureate",1.98625,3.25,2.2825,1.8125,2.77,12.10125,0.23,0.16,0.27,0.19,0.15,FALSE,TRUE,TRUE,"131032"
"41","131041","Compliance Officers",21230,90170,60.7866666666667,39.2166666666667,FALSE,"Bachelor's or Higher",2.46928571428571,3.71035714285714,2.40571428571429,1.50625,3.12979591836735,13.2214030612245,0.24,0.19,0.28,0.18,0.11,FALSE,TRUE,FALSE,"131041"
"42","131051","Cost Estimators",10250,83070,86.37,13.64,FALSE,"Bachelor's or Higher",2.5325,3.57875,2.8425,1.125,2.96285714285714,13.0416071428571,0.23,0.19,0.27,0.22,0.09,FALSE,TRUE,FALSE,"131051"
"43","131071","Human Resources Specialists",52760,82060,73.19,26.81,FALSE,"Bachelor's or Higher",2.015,3.6725,2.41,1.17125,3.10857142857143,12.3773214285714,0.25,0.16,0.3,0.19,0.09,FALSE,TRUE,FALSE,"131071"
"44","131075","Labor Relations Specialists",7310,104510,66.65,33.32,FALSE,"Bachelor's or Higher",2.2025,3.84375,2.5025,1.0925,3.55571428571429,13.1969642857143,0.27,0.17,0.29,0.19,0.08,FALSE,TRUE,FALSE,"131075"
"45","131081","Logisticians",8730,93780,75.9133333333333,24.09,FALSE,"Bachelor's or Higher",2.96916666666667,3.6725,2.98916666666667,1.5,3.20904761904762,14.339880952381,0.22,0.21,0.26,0.21,0.1,FALSE,TRUE,FALSE,"131081"
