"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"25","119081","Lodging Managers",730,69750,28.92,71.08,TRUE,"Sub-Baccalaureate",2.4375,3.84375,3.72,2.11,3.85571428571429,15.9669642857143,0.24,0.15,0.24,0.23,0.13,FALSE,TRUE,TRUE,"119081"
"26","119111","Medical and Health Services Managers",26900,118080,96.54,3.45,FALSE,"Bachelor's or Higher",2.9375,3.90625,3.535,1.40625,3.73142857142857,15.5164285714286,0.24,0.19,0.25,0.23,0.09,FALSE,FALSE,FALSE,"119111"
"27","119121","Natural Sciences Managers",4920,166640,91.75,8.24666666666667,FALSE,"Bachelor's or Higher",2.83375,3.69291666666667,3.01083333333333,1.46333333333333,3.22142857142857,14.2222619047619,0.23,0.2,0.26,0.21,0.1,FALSE,FALSE,FALSE,"119121"
"28","119131","Postmasters and Mail Superintendents",620,78110,7.51,92.5,TRUE,"Sub-Baccalaureate",2.42125,3.56375,3.1525,1.515,3.44571428571429,14.0982142857143,0.24,0.17,0.25,0.22,0.11,FALSE,TRUE,TRUE,"119131"
"29","119141","Property, Real Estate, and Community Association Managers",8650,80700,56,44,FALSE,"Bachelor's or Higher",2.10875,3.47,2.905,1.43625,3.35714285714286,13.2771428571429,0.25,0.16,0.26,0.22,0.11,FALSE,TRUE,FALSE,"119141"
"30","119151","Social and Community Service Managers",10520,86830,79.03,20.97,FALSE,"Bachelor's or Higher",2.8575,3.89,3.5925,1.32875,3.69857142857143,15.3673214285714,0.24,0.19,0.25,0.23,0.09,FALSE,FALSE,FALSE,"119151"
"31","119161","Emergency Management Directors",590,94320,77.77,22.21,FALSE,"Bachelor's or Higher",2.735,3.84625,3.1275,1.545,3.74857142857143,15.0023214285714,0.25,0.18,0.26,0.21,0.1,FALSE,FALSE,FALSE,"119161"
"32","119199","Managers, All Other",27100,122210,89.7085714285714,10.2942857142857,FALSE,"Bachelor's or Higher",2.55571428571429,3.72410714285714,2.97392857142857,1.40375,3.42632653061224,14.0838265306122,0.24,0.18,0.26,0.21,0.1,FALSE,FALSE,FALSE,"119199"
"33","131011","Agents and Business Managers of Artists, Performers, and Athletes",2730,65780,60.64,39.36,FALSE,"Bachelor's or Higher",2.15625,3.59375,2.8475,1.155,3.58857142857143,13.3410714285714,0.27,0.16,0.27,0.21,0.09,FALSE,TRUE,FALSE,"131011"
"34","131021","Buyers and Purchasing Agents, Farm Products",210,50240,76.83,23.17,FALSE,"Bachelor's or Higher",2.3275,3.37625,2.9375,1.515,3.08857142857143,13.2448214285714,0.23,0.18,0.25,0.22,0.11,FALSE,TRUE,FALSE,"131021"
